Day;Seller;NbBuyer;MoyHour;SumQty;NbProd;MoyTransPrice;MoyFinPrice;MoyQualID;MoyStdPrice;MoyProdPrice;MoyAge;MoyQuality;MoyQty;MoyQualAdmId;MoyIDAdmin;MoyAdminPrice;Moysupply;MoyHour2;MoymargBuyer;MoyNewOffer;MoymargSeller;MoyVmargBuyer;MoyVmargSeller;Moydem2;Moysup2;Moysup/dem;Moyqty/dem;Moyqty/off;SumVmargBuyer;SumVmargSeller;Moydertrans
4;19;5;68.6;40;5;22.042;29.6;0.8;22.79;16.3;0.6;0.581926;8;1.4;41540;23.78296;512.4;68;0.3402561454;225;0.3745564652;2.7274506966;2.5907556928;115.4;487.8;5.82;0.0988105726;0.0166997726;13.637253483;12.953778464;102
4;20;9;85.4444444444444;80;9;20.3455555555556;27.5555555555556;2;21.4044444444444;15.7244444444444;1;0.436785111111111;8.88888888888889;0.555555555555556;41611.1111111111;23.0381888888889;528;87.7777777777778;0.351359009;120;0.298996270111111;3.04533282066667;2.67152282;220.111111111111;462;2.1;0.0406642558888889;0.0371617702222222;27.407995386;24.04370538;136.666666666667
5;1;5;90.8;38;5;19.42;25.6;2.6;20.062;16.564;0.6;0.5367478;7.6;1;50500;23.57234;352.4;92;0.310552468;165;0.173141173;2.3919859018;1.2554111274;192;320.6;2.12;0.0537018634;0.0236665102;11.959929509;6.277055637;128
5;2;5;68.2;38;5;19.838;25.6;1.4;19.786;15.834;0.4;0.4163864;7.6;0.6;50460;22.45804;313.2;66;0.2838399324;108.4;0.2540073524;2.0569684022;1.9473046048;218;361.2;1.6;0.035;0.0294014464;10.284842011;9.736523024;100
5;3;6;55.5;48;6;21.06;27.3333333333333;2;26.82;16.59;0.333333333333333;0.547806333333333;8;1;50100;23.4544333333333;272.666666666667;56.6666666666667;0.2984566615;178.333333333333;0.272509857166667;2.16856736066667;2.02788104816667;166.666666666667;272.333333333333;2.36666666666667;0.0568322983333333;0.0351208033333333;13.011404164;12.167286289;86.6666666666667
5;4;14;103.428571428571;96;14;20.7371428571429;26.2857142857143;1.21428571428571;20.1871428571429;16.605;0.928571428571429;0.393575481428571;6.85714285714286;0.5;51621.4285714286;21.6443214285714;530;105;0.268473479785714;115.642857142857;0.253187453928571;1.87766924407143;1.95539848278571;201.428571428571;489.214285714286;2.49285714285714;0.0390550133571429;0.0206858163571429;26.287369417;27.375578759;122.142857142857
5;5;2;13.5;20;2;24.22;32;0.5;30.6;18.92;1;0.719104;10;1.5;52150;24.29095;603;15;0.3161595045;305.5;0.2799235005;3.161595044;2.7992350045;150;610.5;4.4;0.093167702;0.0199921405;6.323190088;5.598470009;20
5;6;8;127.875;61;8;19.245;27.5;1.25;20.63;17.64;1;0.527856125;7.625;1.25;52125;23.625525;613.125;127.5;0.4259779945;260.625;0.091293677;3.2977611655;0.631650194375;166.25;608.25;3.9875;0.06710015525;0.015658928;26.382089324;5.053201555;131.25
5;7;10;30.1;76;10;25.231;31.6;3.1;34.098;18.449;0.6;0.71988836;7.6;1.5;51350;24.29681;405.7;31;0.3004054383;235.9;0.3655954579;1.9552391412;3.0285754202;100;336;4.67;0.1168498023;0.0294977084;19.552391412;30.285754202;56
5;8;12;96.75;98;12;18.7233333333333;24;1.08333333333333;20.0633333333333;15.7766666666667;1.08333333333333;0.376522416666667;8.16666666666667;0.666666666666667;52066.6666666667;22.0728666666667;636.75;98.3333333333333;0.279350660166667;155.916666666667;0.192604796666667;2.35079368233333;1.61857082516667;204.166666666667;603;3.025;0.045962733;0.0169818801666667;28.209524188;19.422849902;126.666666666667
