IDBuyer;run;r;Day;r;Hour;r;r;Seller;r;Buyer;r;Prod;Qte/dem;QualID;r;FinPrice;r;TransPrice;r;StdPrice;suply/demand;ProdPrice;sup2/dem2;Age;r;Qty;margStdPr;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10066;;D;1;H;199;Trans;From;6;To;66;Pr;2;Qual;1;FinPrice;32;Price;30,46;StdPrice;30,86;BuyPrice;17,97;Age;0;Qty;6;Qual;0,628591;1;12100;43,7525;200;283;283;0,050558109;0,695047301;0,303348654;4,170283806;230;528;2,3;0,026086957;0,011363636;R;XP4;12166;260
10032;;D;1;H;202;Trans;From;9;To;32;Pr;0;Qual;0;FinPrice;24;Price;17,03;StdPrice;17,03;BuyPrice;17,03;Age;1;Qty;4;Qual;0,317122;0;10000;0;200;0;0;0,409277745;0;1,637110981;0;200;271;1,4;0,02;0,014760148;B;XP4;10032;210
10033;;D;1;H;210;Trans;From;19;To;33;Pr;0;Qual;0;FinPrice;20;Price;15,35;StdPrice;15,35;BuyPrice;15,35;Age;1;Qty;10;Qual;0,130394;0;10000;0;210;0;0;0,302931596;0;3,029315961;0;200;271;1,4;0,05;0,036900369;B;XP4;10033;210
10032;;D;1;H;210;Trans;From;11;To;32;Pr;0;Qual;1;FinPrice;24;Price;17,87;StdPrice;17,87;BuyPrice;17,87;Age;1;Qty;6;Qual;0,232003;0;10000;0;210;0;0;0,343033016;0;2,058198097;0;200;271;1,4;0,03;0,022140221;B;XP4;10032;210
10064;;D;1;H;214;Trans;From;1;To;64;Pr;0;Qual;3;FinPrice;32;Price;30,16;StdPrice;30,16;BuyPrice;17,17;Age;0;Qty;1;Qual;0,639355;1;10100;43,1556;210;176;176;0,061007958;0,756552126;0,061007958;0,756552126;230;389;1,7;0,004347826;0,002570694;R;XP4;10164;260
10037;;D;1;H;221;Trans;From;11;To;37;Pr;0;Qual;1;FinPrice;24;Price;17,87;StdPrice;17,87;BuyPrice;17,87;Age;1;Qty;4;Qual;0,232003;0;10000;0;220;0;0;0,343033016;0;1,372132065;0;200;271;1,4;0,02;0,014760148;B;XP4;10037;220
10023;;D;1;H;225;Trans;From;19;To;23;Pr;0;Qual;0;FinPrice;20;Price;15,35;StdPrice;15,35;BuyPrice;15,35;Age;1;Qty;3;Qual;0,130394;0;10000;0;230;0;0;0,302931596;0;0,908794788;0;200;271;1,4;0,015;0,011070111;B;XP4;10023;230
10062;;D;1;H;230;Trans;From;17;To;62;Pr;0;Qual;6;FinPrice;36;Price;31,6;StdPrice;31,74;BuyPrice;17,3;Age;0;Qty;10;Qual;0,844711;2;10200;46,1878;230;372;372;0,139240506;0,826589595;1,392405063;8,265895954;70;377;5,4;0,142857143;0,026525199;R;XP4;10262;230
10056;;D;1;H;243;Trans;From;17;To;56;Pr;0;Qual;6;FinPrice;36;Price;31,6;StdPrice;31,74;BuyPrice;17,3;Age;0;Qty;6;Qual;0,844711;2;10200;46,1878;240;372;372;0,139240506;0,826589595;0,835443038;4,959537572;70;377;5,4;0,085714286;0,015915119;R;XP4;10256;270
10066;;D;1;H;255;Trans;From;6;To;66;Pr;2;Qual;1;FinPrice;32;Price;30,46;StdPrice;30,86;BuyPrice;17,97;Age;0;Qty;6;Qual;0,628591;1;12100;43,7525;260;283;283;0,050558109;0,695047301;0,303348654;4,170283806;230;528;2,3;0,026086957;0,011363636;R;XP4;12166;260
